app_name,Account/Registration,App Performance/UI,Customer Service,Login/Authentication,Reload/Top-up,Rewards/Cashback,Security/Fraud,Transaction/Payment,Update/Version
Boost,-0.5924411022562776,-0.6884906134511458,-0.6516360046444026,-0.6417773649059726,-0.3553554119046482,-0.11804525733111411,-0.5170430498639332,-0.39010723258191854,-0.6174224685731331
GXBank,-0.5430768525058572,-0.46671449510842306,-0.5794493434319933,-0.7097987979479613,-0.4311259461844221,0.017200226292890662,-0.4282282034165404,-0.29139189908038016,-0.6392969346753818
MAE by Maybank,-0.6587951094084736,-0.6810116037024463,-0.6971613130037876,-0.713944018987714,-0.5295306986095893,-0.4423236435203883,-0.4149233731221069,-0.6361359081689089,-0.6261021822105
Setel,-0.3809505193582121,-0.46607380204339793,-0.23630028876454331,-0.5545863005148413,-0.15736080115979037,0.19283340205451124,0.18273393098775506,-0.02992308964761585,-0.4575877685864919
Touch n Go eWallet,-0.6233441477728568,-0.6856331550115634,-0.6740311273290132,-0.6425016036752556,-0.5396946435220661,-0.32063026377643283,-0.33804996482238336,-0.35181231559480614,-0.5887679059452028
